#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2211323000 ; 4.87179 ; 3.30147 ; 0 ; 0
2211407000 ; 4.91441 ; 3.30208 ; 0 ; 0
2211506000 ; 4.79509 ; 3.30246 ; 0 ; 0
2211605000 ; 4.83771 ; 3.302 ; 0 ; 0
2211703000 ; 0.000735511 ; 3.30452 ; 0 ; 0
2211803000 ; 0.000331153 ; 3.30185 ; 0 ; 0
2211896000 ; 0.00123524 ; 3.3017 ; 0 ; 0
2211997000 ; 0.0010178 ; 3.30208 ; 0 ; 0
2212095000 ; 0.000636328 ; 3.302 ; 0 ; 0
2212193000 ; 0.00110172 ; 3.30246 ; 0 ; 0
2212288000 ; 0.000746955 ; 3.30238 ; 0 ; 0
2212382000 ; 0.000750769 ; 3.30185 ; 0 ; 0
2212490000 ; 0.00043415 ; 3.30276 ; 0 ; 0
2212586000 ; 0.000506629 ; 3.30223 ; 0 ; 0
2212682000 ; 0.00141071 ; 3.3017 ; 0 ; 0
2212771000 ; 0.000396003 ; 3.30437 ; 0 ; 0
2212860000 ; 0.000396003 ; 3.30246 ; 0 ; 0
2212964000 ; 0.000975837 ; 3.30147 ; 0 ; 0
2213053000 ; 0.000697364 ; 3.30238 ; 0 ; 0
2213150000 ; 0.000891913 ; 3.30383 ; 0 ; 0
2213248000 ; 0.000697364 ; 3.30238 ; 0 ; 0
2213345000 ; 0.0011475 ; 3.30177 ; 0 ; 0
2213448000 ; 0.00068592 ; 3.30276 ; 0 ; 0
2213535000 ; 0.00110172 ; 3.30269 ; 0 ; 0
2213626000 ; 3.36063e-05 ; 3.30185 ; 0 ; 0
2213713000 ; 0.000731696 ; 3.30276 ; 0 ; 0
2213813000 ; 0.000537146 ; 3.30276 ; 0 ; 0
2213900000 ; 0.00122379 ; 3.3017 ; 0 ; 0
2213997000 ; 0.000693549 ; 3.30215 ; 0 ; 0
2214085000 ; 0.00067829 ; 3.30124 ; 0 ; 0
2214182000 ; 0.000376929 ; 3.30147 ; 0 ; 0
2214274000 ; -0.000187646 ; 3.30467 ; 0 ; 0
2214376000 ; 0.00122761 ; 3.30276 ; 0 ; 0
2214472000 ; 0.000460852 ; 3.30391 ; 0 ; 0
2214576000 ; 0.000598182 ; 3.30292 ; 0 ; 0
2214672000 ; 0.000415076 ; 3.30269 ; 0 ; 0
2214765000 ; 0.00226902 ; 3.30139 ; 0 ; 0
2214853000 ; 0.000785102 ; 3.30399 ; 0 ; 0
2214940000 ; 0.000407447 ; 3.30482 ; 0 ; 0
2215037000 ; 0.00101017 ; 3.30254 ; 0 ; 0
2215124000 ; 0.0010445 ; 3.30345 ; 0 ; 0
2215221000 ; 0.00061344 ; 3.30208 ; 0 ; 0
2215328000 ; 0.00145267 ; 3.30208 ; 0 ; 0
